Date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,Penetration Rate
01-01-2024,Kerala,4-Wheelers,734,164,447.5609756
01-03-2023,Chandigarh,2-Wheelers,362,663,54.60030166
01-01-2024,Ladakh,2-Wheelers,14,37,37.83783784
01-03-2024,Goa,2-Wheelers,1745,5018,34.77481068
01-10-2021,Ladakh,2-Wheelers,6,18,33.33333333
01-01-2022,Ladakh,2-Wheelers,6,20,30
01-02-2023,Chandigarh,2-Wheelers,216,955,22.61780105
01-05-2023,Goa,2-Wheelers,863,3933,21.9425375
01-02-2024,Goa,2-Wheelers,990,4759,20.80268964
01-07-2022,Goa,2-Wheelers,579,2801,20.67118886
01-12-2023,Delhi,2-Wheelers,5380,27097,19.85459645
01-03-2024,Kerala,2-Wheelers,8393,42909,19.55999907
01-04-2023,Goa,2-Wheelers,698,3609,19.34053755
01-12-2023,Goa,2-Wheelers,799,4299,18.58571761
01-03-2024,Karnataka,2-Wheelers,22742,123800,18.36995153
01-07-2023,Goa,2-Wheelers,517,2877,17.97010775
01-05-2023,Kerala,2-Wheelers,7386,41347,17.86344838
01-05-2023,Karnataka,2-Wheelers,17292,97074,17.81321466
01-12-2022,Delhi,2-Wheelers,3826,21773,17.57222248
01-03-2024,Maharashtra,2-Wheelers,26668,152563,17.47999187
01-08-2023,Goa,2-Wheelers,689,4098,16.81307955
01-03-2023,Goa,2-Wheelers,837,5064,16.52843602
01-01-2024,Goa,2-Wheelers,832,5079,16.3811774
01-05-2023,Maharashtra,2-Wheelers,20585,126680,16.2496053
01-02-2023,Goa,2-Wheelers,628,3919,16.02449604
01-03-2024,Delhi,2-Wheelers,5002,31599,15.82961486
01-11-2023,Goa,2-Wheelers,977,6217,15.71497507
01-05-2023,Delhi,2-Wheelers,4977,32282,15.41726039
01-06-2023,Goa,2-Wheelers,531,3485,15.23672884
01-01-2024,Kerala,2-Wheelers,6457,42509,15.18972453
01-01-2023,Goa,2-Wheelers,662,4457,14.85304016
01-11-2023,Kerala,2-Wheelers,5352,36822,14.53478898
01-04-2023,Kerala,2-Wheelers,4659,32903,14.15980306
01-03-2024,Chandigarh,2-Wheelers,215,1525,14.09836066
01-02-2024,Kerala,2-Wheelers,5389,38356,14.04995307
01-02-2023,Kerala,2-Wheelers,5558,39985,13.90021258
01-10-2023,Kerala,2-Wheelers,5051,36841,13.71026845
01-12-2023,Kerala,2-Wheelers,4866,35712,13.62567204
01-05-2022,Goa,2-Wheelers,453,3338,13.5710006
01-03-2023,Kerala,2-Wheelers,6773,50705,13.35765704
01-03-2023,Delhi,2-Wheelers,3782,30396,12.44242664
01-03-2023,Karnataka,2-Wheelers,13056,104953,12.43985403
01-03-2022,Delhi,2-Wheelers,3491,28871,12.09171833
01-06-2022,Goa,2-Wheelers,365,3042,11.99868508
01-12-2023,Chandigarh,2-Wheelers,137,1162,11.79001721
01-02-2023,Karnataka,2-Wheelers,10266,88323,11.62324649
01-02-2024,Karnataka,2-Wheelers,12605,108852,11.57994341
01-10-2022,Goa,2-Wheelers,704,6241,11.28024355
01-07-2023,Kerala,2-Wheelers,3937,34948,11.26530846
01-12-2023,Karnataka,2-Wheelers,10237,91996,11.12765772
01-11-2022,Goa,2-Wheelers,587,5285,11.10690634
01-03-2023,Maharashtra,2-Wheelers,17077,154632,11.04363909
01-05-2023,Gujarat,2-Wheelers,9609,87169,11.02341429
01-03-2024,Puducherry,2-Wheelers,477,4337,10.99838598
01-01-2023,Kerala,2-Wheelers,4667,43110,10.82579448
01-03-2024,Tamil Nadu,2-Wheelers,13350,124071,10.75996808
01-01-2024,Karnataka,2-Wheelers,12415,115920,10.70997239
01-04-2023,Karnataka,2-Wheelers,9711,91491,10.61415877
01-12-2022,Goa,2-Wheelers,528,4983,10.59602649
01-06-2023,Kerala,2-Wheelers,4020,38025,10.57199211
01-10-2023,Goa,2-Wheelers,567,5377,10.54491352
01-01-2023,Karnataka,2-Wheelers,9969,94898,10.50496322
01-11-2023,Karnataka,2-Wheelers,14300,136535,10.47350496
01-12-2022,Karnataka,2-Wheelers,7750,75110,10.31819997
01-02-2024,Maharashtra,2-Wheelers,15193,147649,10.2899444
01-10-2023,Karnataka,2-Wheelers,11137,108712,10.24449923
01-08-2022,Delhi,2-Wheelers,3259,31869,10.22623866
01-05-2023,Puducherry,2-Wheelers,382,3736,10.2248394
01-03-2024,Andhra Pradesh,2-Wheelers,7057,69119,10.20992781
01-12-2022,Kerala,2-Wheelers,4112,40445,10.16689331
01-07-2023,Karnataka,2-Wheelers,9632,95036,10.1351067
01-09-2023,Goa,2-Wheelers,560,5539,10.11012818
01-06-2022,Delhi,2-Wheelers,2755,27696,9.947284806
01-11-2023,Chandigarh,2-Wheelers,241,2430,9.917695473
01-09-2023,Karnataka,2-Wheelers,10590,106981,9.89895402
01-04-2022,Goa,2-Wheelers,377,3817,9.876866649
01-09-2022,Goa,2-Wheelers,400,4078,9.808729769
01-08-2023,Kerala,2-Wheelers,4798,49548,9.683539194
01-12-2022,Maharashtra,2-Wheelers,13076,136534,9.577101674
01-04-2023,Delhi,2-Wheelers,2738,28590,9.576775096
01-08-2023,Karnataka,2-Wheelers,9720,101545,9.572110887
01-02-2023,Delhi,2-Wheelers,2800,29396,9.525105457
01-01-2024,Maharashtra,2-Wheelers,16367,172830,9.469999421
01-05-2023,Tamil Nadu,2-Wheelers,10330,109325,9.448890922
01-11-2022,Chandigarh,2-Wheelers,163,1727,9.438332368
01-10-2023,Maharashtra,2-Wheelers,15716,167065,9.40711699
01-02-2022,Delhi,2-Wheelers,2384,25413,9.381025459
01-04-2023,Maharashtra,2-Wheelers,12260,130977,9.360422059
01-02-2023,Maharashtra,2-Wheelers,12070,129508,9.319887575
01-01-2023,Maharashtra,2-Wheelers,13802,148279,9.308128595
01-11-2022,Delhi,2-Wheelers,3869,41689,9.280625585
01-09-2023,Maharashtra,2-Wheelers,12444,134556,9.24819406
01-04-2023,Gujarat,2-Wheelers,8266,89782,9.206745227
01-03-2024,Chandigarh,4-Wheelers,119,1294,9.196290572
01-01-2023,Delhi,2-Wheelers,3285,35973,9.131848887
01-11-2022,Kerala,2-Wheelers,3698,40561,9.117132221
01-09-2023,Kerala,2-Wheelers,4461,48967,9.110217085
01-09-2022,Delhi,2-Wheelers,2301,25409,9.055846354
01-12-2023,Odisha,2-Wheelers,4383,48402,9.055410933
01-08-2023,Maharashtra,2-Wheelers,12043,133378,9.02922521
01-11-2022,Karnataka,2-Wheelers,9851,109695,8.98035462
01-03-2024,Gujarat,2-Wheelers,8496,94822,8.959946004
01-02-2024,Chandigarh,2-Wheelers,126,1416,8.898305085
01-05-2023,Chandigarh,2-Wheelers,209,2356,8.870967742
01-12-2022,Rajasthan,2-Wheelers,5060,57108,8.860404847
01-03-2024,Rajasthan,2-Wheelers,7933,89538,8.859925395
01-04-2022,Delhi,2-Wheelers,2832,32226,8.787935208
01-04-2022,Karnataka,2-Wheelers,8814,100400,8.778884462
